#Describes primitives of the scene
#x,y,z,nx,ny,nz,primitiveId,orientationId
0.56544,0.03668,0,0,0,0,0
0.07256,0.16875,0,0,0,1,1
0.09706,0.26025,0,0,0,2,2
0.56544,0.13478,0,0,0,4,4
0.56544,0.03668,0,0,0,6,6
0.88784,0.22117,0,0,0,8,8
0.88784,0.36325,0,0,0,9,9
0.98828,0.36325,0,0,0,10,10
0.98828,0.01172,0,0,0,11,11
0.88784,0.01172,0,0,0,12,12
0.03735,0.83065,0,0,0,14,14
0.13385,0.83065,0,0,0,15,15
0.13385,0.26249,0,0,0,16,16
0.03005,0.26249,0,0,0,17,17
0.15903,0.80749,0,0,0,19,19
0.56544,0.91638,0,0,0,20,20
0.54404,0.99618,0,0,0,21,21
0.13236,0.88587,0,0,0,22,22
0.57579,0.99139,0,0,0,24,24
0.89517,0.94729,0,0,0,25,25
0.88477,0.87229,0,0,0,26,26
0.56539,0.91639,0,0,0,27,27
0.88482,0.8723,0,0,0,28,28
0.78032,0.8723,0,0,0,29,29
0.78032,0.67486,0,0,0,30,30
0.88784,0.67486,0,0,0,31,31
0.9548,0.67099,0,0,0,32,32
0.56544,0.67099,0,0,0,33,33
0.56544,0.57829,0,0,0,34,34
0.9548,0.57829,0,0,0,35,35
